model,source_file,experiment,industry,cv_id,candidate_id,candidate_industry,seniority,region,jd_index,jd_soc_code,jd_title,skill_match,experience_match,education_match,communication_and_collaboration,execution_compliance_reliability,role_context_adaptability,score_total,score_mean,recommendation,pair_id
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,1,11-3031.00,Financial Managers,40,50,95,40,60,20,305.0,50.8333,weak match,GPT5.2|Finance|11-3031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,2,11-3031.01,Treasurers and Controllers,45,35,95,40,60,25,300.0,50.0,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,3,11-3031.03,Investment Fund Managers,40,50,70,40,60,20,280.0,46.6667,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,4,13-2011.00,Accountants and Auditors,25,35,30,40,60,20,210.0,35.0,weak match,GPT5.2|Finance|13-2011.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,5,13-2031.00,Budget Analysts,40,50,95,40,60,30,315.0,52.5,moderate match,GPT5.2|Finance|13-2031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,6,13-2041.00,Credit Analysts,40,50,95,40,60,20,305.0,50.8333,moderate match,GPT5.2|Finance|13-2041.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,7,13-2051.00,Financial and Investment Analysts,35,72,30,45,62,25,269.0,44.8333,moderate match,GPT5.2|Finance|13-2051.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,8,13-2052.00,Personal Financial Advisors,25,55,95,40,60,25,300.0,50.0,weak match,GPT5.2|Finance|13-2052.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,9,13-2053.00,Insurance Underwriters,35,25,95,40,60,20,275.0,45.8333,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Sub-Saharan Africa,10,13-2054.00,Financial Risk Specialists,35,55,30,45,60,25,250.0,41.6667,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,1,11-3031.00,Financial Managers,35,45,95,40,60,25,300.0,50.0,weak match,GPT5.2|Finance|11-3031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,2,11-3031.01,Treasurers and Controllers,40,30,95,40,60,20,285.0,47.5,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,3,11-3031.03,Investment Fund Managers,45,55,70,40,60,25,295.0,49.1667,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,4,13-2011.00,Accountants and Auditors,35,55,25,45,55,25,240.0,40.0,weak match,GPT5.2|Finance|13-2011.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,5,13-2031.00,Budget Analysts,45,55,95,45,60,25,325.0,54.1667,moderate match,GPT5.2|Finance|13-2031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,6,13-2041.00,Credit Analysts,40,50,95,40,60,20,305.0,50.8333,moderate match,GPT5.2|Finance|13-2041.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,7,13-2051.00,Financial and Investment Analysts,35,72,30,45,62,25,269.0,44.8333,moderate match,GPT5.2|Finance|13-2051.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,8,13-2052.00,Personal Financial Advisors,25,55,95,40,60,20,295.0,49.1667,weak match,GPT5.2|Finance|13-2052.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,9,13-2053.00,Insurance Underwriters,25,30,95,40,55,25,270.0,45.0,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,10,13-2054.00,Financial Risk Specialists,25,55,25,45,60,25,235.0,39.1667,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_01
